Organization Id,Name,Country,Founded,Industry,Number of employees
"AA4aE71179d156b","Tran, Crawford and Blake","Cote d'Ivoire","1989","Motion Pictures / Film","5663"
"280a57F3beacd99","Todd-Torres","French Polynesia","2010","Machinery","4059"
"F371254eb18ca27","Moreno-Baldwin","Spain","2010","Arts / Crafts","9858"
"df4c0d242a8aB4F","Yang Inc","Moldova","2013","Food / Beverages","1131"
"e7ce973eaBAfa2e","Ross-Howard","Sudan","1994","Recreational Facilities / Services","706"
"EF430e90727cdE1","Huang PLC","Cape Verde","2003","Security / Investigations","6917"
"15eebAddAc2Ce09","Berry, Rios and Farley","Luxembourg","2002","Veterinary","8257"
"c2aB95895FF1dFB","Barron, Chandler and Sutton","Antigua and Barbuda","2007","Wine / Spirits","1652"
"afA4E4F18d49437","Mcbride, Zavala and Morris","Bouvet Island (Bouvetoya)","1992","Broadcast Media","3541"
"4Da4faC7CfFfD9e","Sexton Group","Peru","2001","Security / Investigations","7830"
"a5D7abBe4994b43","Ray Inc","Andorra","1996","Program Development","9387"
"c5d11D5eACBb491","Mckee, Clay and Rollins","Slovenia","2012","Security / Investigations","95"
"15f7DBcbB3D0b7E","Rios-Howard","Denmark","1979","Internet","6350"
"257cFc8Bd07d849","Baldwin-Boyer","Slovenia","2015","Mechanical or Industrial Engineering","9929"
"48E2e4e4A512cba","Daniel-Glenn","Japan","1980","Insurance","7935"
"53a3b5c387F2ede","Saunders, Tanner and Kent","Bhutan","2002","Education Management","9921"
"8f865cb8040efBF","Chavez Inc","Turkmenistan","2000","Accounting","1285"
"e0c701aBB9bA8C6","Ponce, Castaneda and Conway","Pitcairn Islands","1971","Airlines / Aviation","1402"
"cAC044f5f6df03F","Nicholson, Grant and Wiggins","Macedonia","1971","Ranching","607"
"6abdaa636BD6De8","Small, Moses and Phillips","Cape Verde","2019","Online Publishing","4897"
"AAF1F2BA7FfabBE","Graves-Macias","Bosnia and Herzegovina","1978","Law Enforcement","4276"
"EAfEb2Ddcf72A05","Garcia-Riggs","Anguilla","2020","Restaurants","2203"
"4ABb9efa0f162C7","Montoya, Lewis and Peters","Saint Pierre and Miquelon","2016","Oil / Energy / Solar / Greentech","8507"
"F3D3a48fC65dC04","Faulkner-Prince","British Virgin Islands","1996","Commercial Real Estate","3820"
"d0CcAFCeC31BEaa","Aguilar-Bishop","Heard Island and McDonald Islands","1986","Primary / Secondary Education","6600"
"eAC7E6Dd1Acfd65","Kaufman-Bush","Korea","1970","Aviation / Aerospace","345"
"274FC0b9fd919b9","Salas, Cunningham and Kline","Luxembourg","1999","Photography","5922"
"2B5fa5fCA2D8F3E","Kane, Lawrence and Oconnell","Serbia","2009","Outsourcing / Offshoring","6330"
"78b8EAD5f2c925E","Michael, Freeman and Pineda","Singapore","2022","Alternative Dispute Resolution","2720"
"e9c240acD5ea194","Ray-Kline","Niue","1974","Government Administration","1847"
"EbD128bdF7AcBf7","Greene, Nunez and Kent","Honduras","1980","Religious Institutions","1564"
"5aD0cCbDa2Ea7bf","Ayala and Sons","Anguilla","2008","Shipbuilding","6996"
"Af06CFAbC01EEa5","Park-Vasquez","Eritrea","2006","Photography","2972"
"8fBB9A288C4dE0C","Gregory PLC","Mozambique","2000","Chemicals","5473"
"FaA7c47Bc9b309b","Schmitt-Downs","Morocco","1990","Outsourcing / Offshoring","5328"
"a67aABeafeAd949","Thomas, Copeland and Werner","Sweden","2018","Pharmaceuticals","259"
"ca7d875a5Db6242","Medina PLC","Trinidad and Tobago","1988","Other Industry","1215"
"C3aa6f9fE3C7612","Golden LLC","Turks and Caicos Islands","1976","Packaging / Containers","7753"
"De95fbE86CEF8b4","Rhodes LLC","Libyan Arab Jamahiriya","1989","Security / Investigations","7024"
"DC49F6e8Bb17CBf","Mercado and Sons","Mali","2002","Package / Freight Delivery","1897"
"40cdFfaF4E5bed7","Hanson-Orozco","Ethiopia","1995","Other Industry","5519"
"Ad01dfc69aDC9CD","Wise-Mora","Bahamas","1982","Broadcast Media","4057"
"Aef86E8bAD1CDb8","Grant Inc","Bermuda","1996","Computer Games","9641"
"a65ae9DCD9e8Faf","Fitzpatrick, Ferguson and Mathis","Angola","1980","Aviation / Aerospace","543"
"80D2Ba0Ef26D86e","Gilbert Ltd","Cayman Islands","1981","Packaging / Containers","9564"
"4c6E28bA59FcCFf","Kirk PLC","Sri Lanka","1988","Market Research","4776"
"A71f6caf05EcFf2","Santana and Sons","Bermuda","1977","Marketing / Advertising / Sales","3271"
"fBbf1732D9F8D3f","Turner-Stewart","Ecuador","2013","Civil Engineering","7501"
"1056EACf668D9AD","Wheeler-Vazquez","Swaziland","1977","Broadcast Media","2942"
"72C79CC5fDA0c15","Maynard Group","Niger","1992","Investment Management / Hedge Fund / Private Equity","3639"
"4C32FbC2eceD3C9","Irwin-Rodgers","Syrian Arab Republic","2009","Cosmetics","4904"
"aFc8fefdEA0B0bb","Sheppard-Beltran","Kuwait","1989","Package / Freight Delivery","4337"
"E0fa33fCDC67EAA","Alexander, Irwin and Bautista","Tunisia","1991","Religious Institutions","3977"
"535A7E241fA9C4D","Gross-Trevino","Azerbaijan","1985","Newspapers / Journalism","9703"
"769b4b13CbFCEf9","Walton-Mercer","Togo","1974","Paper / Forest Products","4692"
"f7D31AF2A1BbD21","David Inc","Tajikistan","2016","Other Industry","4037"
"1D8112CdEBf80ad","Francis-Mcbride","Macao","2005","Internet","9153"
"EEBdB9Dc21D2d0c","Horne-Murphy","Argentina","2010","Farming","3525"
"6b00e6ccB2aAbf4","House and Sons","Azerbaijan","2005","Dairy","3451"
"B8Ddf23a87Ff19c","Key, Beard and Greene","Djibouti","2003","Fishery","1206"
"c9Cdf92BC6f0Beb","Nguyen-Medina","Kenya","2018","Consumer Goods","9421"
"4CA68CcA2fCE2B9","Wilkinson, Day and Chen","Tanzania","2012","Information Services","761"
"4EF38De3feD859c","Erickson-Mayer","Japan","1980","Utilities","7863"
"a0463b8eA393F5f","Crane-Sullivan","Ethiopia","1974","Package / Freight Delivery","1174"
"7e6F9bFCfFDAce4","Farmer, Conner and Brown","Svalbard & Jan Mayen Islands","2015","Recreational Facilities / Services","1647"
"8BF9d3F6cdbAD45","Downs and Sons","Equatorial Guinea","1994","Political Organization","7459"
"F8B1FAA6D5fd6E2","Joyce Group","Armenia","1987","Industrial Automation","1992"
"249eAdffdFBaDAe","Mclean, Martin and Watson","Russian Federation","1979","Motion Pictures / Film","4166"
"61C1D9C572C787f","Meadows LLC","Swaziland","2005","Commercial Real Estate","8669"
"f8750aA3fdCBDB8","Brock, Romero and Diaz","Montenegro","2010","Glass / Ceramics / Concrete","6377"
"5A7dbcd65cC1a0A","Barrera-Small","Madagascar","1988","Law Practice / Law Firms","646"
"bb10a2dD6ba41ff","Watkins-Martinez","Cayman Islands","2019","Writing / Editing","2048"
"Dc0Cd8FC5e4aEA4","Manning and Sons","Spain","1999","Farming","6402"
"eFBEDdF1ccD1DcD","Hurst-Wyatt","Papua New Guinea","1970","Higher Education / Acadamia","712"
"FB6fD1BF8AE3Bd7","Barrera, Copeland and York","Mayotte","1983","Public Safety","6139"
"dFB9Edd116EbA8b","Walton-Avila","Saint Martin","1988","Fishery","9475"
"1248d9ee52b29Ba","Villarreal-Pennington","Cocos (Keeling) Islands","2010","Wireless","5178"
"eae5edff5dAbFDE","Wright, Crosby and Gould","Botswana","2002","Management Consulting","6642"
"bf4dCD59Eed88B1","Nicholson, Acevedo and Murillo","Saint Barthelemy","2018","Pharmaceuticals","1264"
"5e472eefBd2A55A","Wilkerson, Jefferson and Cuevas","Haiti","1980","Mental Health Care","414"
"bFD0fB22F323bdE","Beard-Foley","Panama","2017","Online Publishing","435"
"6bcA14CcC441a0b","Smith-Landry","Montserrat","1977","Venture Capital / VC","3769"
"A84B62Ac12DED97","Fleming, Scott and Roman","Turkey","1982","Wine / Spirits","4186"
"7fCC910CD4CE8a3","Blackwell PLC","United States Minor Outlying Islands","2018","Ranching","3043"
"9FE1Af4D258f12b","Acevedo-Durham","Bermuda","2012","Automotive","946"
"5aF0B3aFcb0E3e2","Church and Sons","Timor-Leste","2018","Marketing / Advertising / Sales","4677"
"ACe644AefdFe2FA","Raymond, Hull and Mcclure","British Virgin Islands","1986","Warehousing","5676"
"28959dbe3BB2FEF","Webb, Browning and Collier","Algeria","2022","Consumer Electronics","4427"
"e1E5006384Dd7CE","Donaldson PLC","Mexico","2000","Law Practice / Law Firms","292"
"C50b32B793f7deA","Whitehead, Bridges and Buchanan","Montenegro","1991","Market Research","579"
"a7bBE21BDF8501F","Marquez-Waters","Iran","1981","Retail Industry","9471"
"2c4bFf2a4629d7C","Diaz, Shaffer and Campbell","United States Virgin Islands","1981","Design","744"
"Dbf0BCbAaaA613C","Alvarado-Wells","Senegal","2016","Facilities Services","3893"
"691A915bbf9b19E","Gutierrez LLC","Taiwan","1993","Logistics / Procurement","3050"
"74A52E4c3923743","Alexander, Fisher and Woodard","Macedonia","1970","Legal Services","3750"
"f9fa80e77FFfBa8","Clay, Powers and Hart","Hong Kong","1994","Mining / Metals","453"
"8506A5EAC910d2B","Roberts-Terrell","Netherlands Antilles","1978","Accounting","4964"
"5eA69EbAcAF6Db4","Duncan-Hopkins","Tunisia","1979","Wine / Spirits","6477"
"c8E7bE4db4a6FeE","Peters Ltd","Bermuda","2020","Railroad Manufacture","3938"
"5ecF438e6fd5d85","Decker, Chung and Vaughan","Iran","1980","Consumer Services","3575"
"1D0A25da4aBa761","Payne-Huang","Liberia","2016","Marketing / Advertising / Sales","7336"
"6edBAdf691eC8EE","Conway LLC","Honduras","2000","Hospital / Health Care","5466"
"CCaA31E5DeFC4dB","Cook Inc","Andorra","1988","Human Resources / HR","4555"
"F09eE9AF5Db6b8A","Haney-Lang","Pakistan","1998","Public Safety","6379"
"F6e991b12b04F1f","Bernard-Benson","Marshall Islands","1999","Computer Games","4030"
"Ac6FF1Fa4Cb3bc8","Giles, Merritt and Vincent","Colombia","2016","Nanotechnology","4284"
"6bf9bC4cd1b6BdA","Cunningham LLC","Liechtenstein","1979","Translation / Localization","4791"
"C4fb7F0fAAf4CeD","Kennedy and Sons","Kazakhstan","1996","Gambling / Casinos","8199"
"DF2D6F2beffF49F","Barry-Holloway","Sweden","1992","Accounting","231"
"ca2a51A1ec4De27","Mclean Group","United States Minor Outlying Islands","1984","Nanotechnology","8108"
"aC09b09FCB5F0B6","Dixon, Gay and Howe","South Africa","1975","Furniture","240"
"3c69968A79fBCFe","Rose Ltd","Ireland","2017","Philanthropy","1925"
"4B0cDFacca5Dd20","Mckinney, Rios and Solomon","Paraguay","2010","Broadcast Media","7466"
"56cfAAf541FbCcC","Martinez-Mendez","France","2015","Textiles","3964"
"5D40ad8bC1FDD6f","Rivers-Blackburn","Hong Kong","1992","Public Relations / PR","1508"
"C9A5ef9a88adFae","Macias, Leblanc and Owens","Maldives","2009","Judiciary","5760"
"451BebF5AfAaebb","Alvarez, White and Ingram","Togo","2021","Computer / Network Security","7939"
"Ab608be5D9A2D10","Nelson, Ayala and Meyer","Norway","1988","Internet","7168"
"3E642BC2efFd185","Hardy, Spence and Rich","Maldives","2009","Public Relations / PR","9077"
"CdB225FeBD4ACb5","Mejia, Rivers and Nguyen","Malaysia","1970","Hospital / Health Care","1629"
"C2e7fCDeD767451","Chase-Gilmore","Holy See (Vatican City State)","2009","Events Services","1836"
"b7503825D3F59bC","Craig and Sons","India","1986","Oil / Energy / Solar / Greentech","5248"
"9FB9B9B4A7ADe76","Meza-Wilson","Isle of Man","2017","Law Practice / Law Firms","7462"
"dB39AEaFcf3d824","Middleton Inc","Saint Vincent and the Grenadines","2013","Philanthropy","946"
"546a22B4cD6bFCf","May Group","Switzerland","1994","Design","8207"
"64411fFdE8EAC66","Hardin, Welch and Goodwin","Germany","2011","Gambling / Casinos","9700"
"8Ca7A0f387b8576","Campos and Sons","Bermuda","2003","Computer Hardware","9516"
"a55F80EbD1D4d26","Barry Inc","Sri Lanka","1976","Industrial Automation","9049"
"BE3c9C41D1DA81d","Chang, Suarez and Ortiz","Reunion","1993","Pharmaceuticals","4880"
"3CB86A6003E67a5","Phelps-Bryan","Barbados","1972","Facilities Services","8053"
"1CB63Bba3B56cfC","Wiggins PLC","Philippines","2003","International Trade / Development","1137"
"C1f3Aa10Af0fD09","Sosa Group","Luxembourg","1977","Commercial Real Estate","7642"
"4351f4c9755DbA6","Dominguez and Sons","Albania","2012","Biotechnology / Greentech","9685"
"Ec46B1B16F57da8","Mcclain, Krause and Townsend","Uruguay","1993","Luxury Goods / Jewelry","254"
"f7FdDF8FcCb7e0C","Shea PLC","Pakistan","2021","Executive Office","7661"
"7dde3eFbeC2FBf8","Rhodes-Steele","Heard Island and McDonald Islands","1997","Primary / Secondary Education","3502"
"Ed35D1ca0B94fEa","Rush-Allison","Ukraine","1997","Transportation","7003"
"2416AaE2b66Ecca","Keith, Stafford and Soto","Sri Lanka","1981","Veterinary","7927"
"d5E7C74AF731BfE","Bryan-Mcfarland","Australia","1978","Writing / Editing","9998"
"8F4d31f25BEaE61","Holden-Velazquez","British Virgin Islands","2015","Hospital / Health Care","8346"
"68C3788CdEadDA8","Luna Ltd","Gabon","1971","Shipbuilding","679"
"E06fdBc3c8D9deB","Collins-Farley","Saint Martin","2000","Venture Capital / VC","4902"
"7d0cECBDdbAc918","Whitney LLC","Kazakhstan","1977","Pharmaceuticals","7259"
"f1414aa732a5dCf","Wilkerson-Rivers","French Guiana","2008","Veterinary","1818"
"e4B93C8A2C5CfDd","Gonzales-Vargas","Tokelau","2009","Leisure / Travel","4380"
"13eeCCbB8C894CF","Spencer-Quinn","Benin","1975","Ranching","7995"
"b04c7b47dc2092d","Cooley LLC","Austria","1983","Outsourcing / Offshoring","3770"
"CaF73FbB52ED95e","Chavez-Velazquez","Rwanda","2006","Furniture","3470"
"312CAA5E2deb9Ea","Walls, Fritz and Patrick","Denmark","1981","Apparel / Fashion","5879"
"5E94a5481A86F18","Houston PLC","Isle of Man","2012","Civic / Social Organization","9247"
"eD035aAacdbEb9d","Hughes Inc","Kazakhstan","2019","Museums / Institutions","8349"
"7FDEda7DAaff02e","Ali-Kim","Guinea-Bissau","1989","Judiciary","3477"
"59adfD848Ff79dB","Jennings-Riggs","Reunion","2013","Civic / Social Organization","4420"
"C8584CE161BeA1e","Glenn-Bird","Mali","2020","Medical Equipment","6466"
"DB6264d4C2AAeae","Watkins-Patton","Belarus","1997","Utilities","5377"
"a611cBb80D0fecC","Howe, Patrick and Glover","Sri Lanka","1970","Utilities","4480"
"fcF66BfEB398104","Perry LLC","Greenland","2008","Arts / Crafts","4984"
"28acE2C9e3489CB","Henry, Stanley and Nguyen","Papua New Guinea","1981","Fine Art","1963"
"5533b2CeF80C12a","Finley, Archer and Butler","Bermuda","1986","Food Production","118"
"37F57dd641700D2","York LLC","Reunion","1996","Fine Art","1236"
"401B383E39e3F13","Petty Group","Kuwait","2016","Translation / Localization","7123"
"EA8084cEF22c5Ad","Grant LLC","Hungary","1996","Computer Hardware","4057"
"bBc4AEBdF999Fc6","Cherry, Buchanan and Aguilar","Mozambique","1999","Financial Services","5975"
"4C2e909C11931B2","Stevenson-Bowman","Falkland Islands (Malvinas)","2012","Luxury Goods / Jewelry","3489"
"40cafB5CdCFaa0D","Krause, Murphy and Whitney","Lao People's Democratic Republic","1986","Music","3822"
"2d9a0B6c022587C","Charles Ltd","Bermuda","1973","Leisure / Travel","45"
"90d17Eca386eCbD","Sutton and Sons","Costa Rica","1999","Warehousing","1118"
"FB6Db4EFf77ecAD","Rios Group","Saint Helena","2008","Semiconductors","5305"
"d9ACD9ABB96cF1E","Barnett-Leonard","Saint Vincent and the Grenadines","2008","Education Management","8089"
"04FcA8Af94ef7c4","Carter and Sons","Lithuania","2017","Civil Engineering","7740"
"1ba1E45aDFb81E4","Velazquez Inc","Uzbekistan","1995","Restaurants","5516"
"FacBaDaC2aC2ffF","Wiggins, Blackburn and Lowery","Senegal","2011","Fundraising","3041"
"f69F8f93AA0a4a1","Mitchell Inc","Bulgaria","2002","Military Industry","1954"
"78cf9bE1Bb3938F","Jordan-Novak","Algeria","1974","International Trade / Development","5295"
"81D6b9D2EC2A6DA","Andrews-Hicks","Liberia","1989","Philanthropy","6291"
"d1c5236de71635f","Warner-Chan","Ecuador","1989","Computer Software / Engineering","9891"
"5d177BbedD9C9a2","Castro, Beltran and Cunningham","French Southern Territories","2009","Ranching","7883"
"96F3aFE0e2c866B","Friedman PLC","Holy See (Vatican City State)","2007","Photography","162"
"5fA9c50a8dFA2d4","Carroll, Weeks and Ali","India","2008","Textiles","251"
"fd0dCE9458aE8Fe","Hoffman, Anderson and Ochoa","Mali","2002","Financial Services","6709"
"B06bcfC679Adc0E","Dominguez LLC","Lao People's Democratic Republic","1987","Building Materials","5973"
"afc69CCfbC5Eab6","Rivas-Clarke","Uzbekistan","1998","Translation / Localization","1749"
"Bc87B585bea2c9b","Lowery, Hudson and Mccormick","Ghana","1999","Financial Services","7807"
"1b062CFD0a6Dc03","Everett, Waters and Pace","Ecuador","2016","Defense / Space","1002"
"ebaAFA73C54Ef35","Rich-Molina","Uganda","1997","Restaurants","4481"
"7eE0926806BE0Fd","Ibarra, Little and Robinson","Christmas Island","1996","Consumer Goods","2639"
"eB3A67E8ffaDC4E","Mcclure, Barrett and Walls","Belgium","2002","Media Production","8267"
"fBaA04DF88fE9DB","James Group","Lithuania","2006","Hospital / Health Care","6475"
"5d1D0DdB042Fae0","Santos Group","Israel","2003","Wine / Spirits","1204"
"aD805BFbb3bB5E4","Sosa, Henry and Baker","Mexico","2001","Leisure / Travel","9827"
"0910171A8057Cd8","Duran-Knox","Antarctica (the territory South of 60 deg S)","1979","Government Administration","955"
"13513108F7fAFed","Whitaker, Blanchard and Newman","Ghana","1988","Information Technology / IT","8627"
"d6EeA57D79cd984","Ramirez PLC","Niue","1975","Printing","5034"
"e9a5C84E156e792","Compton, Calhoun and Goodman","Cayman Islands","1986","Security / Investigations","6275"
"0DfB148bBf859fE","Novak Inc","Ecuador","2014","Facilities Services","2828"
"0Aa919ec0E682a6","May Group","Senegal","2009","Legislative Office","2950"
"4afCcBEeDCcc55D","Pacheco, Meza and Hodges","Japan","1973","Renewables / Environment","7774"
"4185aca6EE793D0","Mitchell, Alvarez and Kirk","British Indian Ocean Territory (Chagos Archipelago)","1987","Writing / Editing","534"
"eeCed3DbeA2d14a","English PLC","Turkmenistan","1992","Government Relations","8990"
"3bba7fd4ccDD0A1","Branch Ltd","Turkey","2003","Museums / Institutions","3945"
"1AF04645FbE48AF","Blanchard LLC","Thailand","1990","Museums / Institutions","797"
"51baeBFDF05Aaa2","Galvan-Townsend","Niger","1984","Library","7649"
"6d69Cc69977409A","Donaldson-Case","Mongolia","1986","Ranching","5908"
"fCeddeDb8a2cfba","Santos-Eaton","Denmark","1970","Information Technology / IT","5655"
"c5f2f76D700Ec7c","Gonzales, Wagner and Skinner","Ukraine","1981","Warehousing","6714"
"B6F5F8f7792AaDe","Cooley-Richards","Mongolia","2012","Nanotechnology","8546"
"AFF7E3bDC59Cc15","Kaufman, Andrews and Gordon","Grenada","2016","Arts / Crafts","1306"
"2a881DC49E4fEfe","Castaneda-Collins","Finland","2003","Industrial Automation","3551"
"Dd82fedC7C7e5E3","Russo Ltd","Korea","2013","Mining / Metals","2102"
"4af5c84f060c3Fd","Bird, Trujillo and Berry","Saint Lucia","2001","Environmental Services","4968"
"3C7Baec1bec2C4D","Daniel, Solomon and Ballard","Korea","1997","Plastics","8754"
"F85f7C754FD8Cc5","Miles, Flynn and Horn","Palestinian Territory","1996","Research Industry","6614"
"c9DbAbAAeF70f26","Hatfield PLC","Saint Vincent and the Grenadines","1980","Primary / Secondary Education","3557"
"d2dd06BC9a5CFdb","Valencia-Blake","Angola","2013","Mechanical or Industrial Engineering","2461"
"aEb0cfD15DE8Ff1","Hopkins and Sons","Timor-Leste","1989","Cosmetics","5951"
"1F3b1eaC8Ec9Cf8","Mack, Page and Whitaker","Mauritius","2019","Photography","3317"
"DfdEE1bd4B3EFF1","Richmond and Sons","Heard Island and McDonald Islands","1978","Religious Institutions","2132"
"D4bF416Aa999a2a","Villegas and Sons","Lebanon","2001","Legal Services","4185"
"aabE01b76BD4A78","Conner-Ballard","Norfolk Island","2010","Fine Art","5500"
"E93bfDE7Bc2b18b","Norton, Johnston and Maldonado","Guinea","1995","Market Research","6398"
"C4b95BaceFB71d7","Shepard-Ortiz","Mozambique","1979","Political Organization","3997"
"A4Aecc4fF15b2c5","Mccullough PLC","Canada","1970","Printing","5221"
"9dfd5397F91B0f6","Jacobs-Parrish","Nepal","1976","Wholesale","1706"
"4C4Fb8e3e0BDF8a","Matthews-Cooke","Cocos (Keeling) Islands","1973","Import / Export","6239"
"F2AeBdFf6CB64F6","Manning-Walker","Zimbabwe","2005","Automotive","8771"
"d6875FEB55cFd02","Riddle-Sheppard","Barbados","2008","Translation / Localization","5182"
"4Ee0bd43bc99d92","Esparza and Sons","Namibia","1974","Architecture / Planning","370"
"34eCBDeb1788cF5","Lopez-Watts","Chile","2021","Marketing / Advertising / Sales","913"
"d1f869cAfc876A2","Banks, Blevins and Nielsen","Rwanda","2006","Environmental Services","2394"
"6Ac373B703C47AE","Bernard, Bowman and Wilson","Lesotho","1978","Environmental Services","5574"
"63DF454bd730447","Doyle-Bray","Turkey","1970","Staffing / Recruiting","3311"
"B2B68BebBEf2d78","Bailey, Rodriguez and Chaney","Nepal","1975","Semiconductors","519"
"BC255F430eD856F","Potter, Small and Bowers","Lao People's Democratic Republic","2012","Newspapers / Journalism","3618"
"C0e6B40d1BfE87b","Trujillo, Benson and Porter","French Southern Territories","1974","Individual / Family Services","7950"
"bc64e2CcEF6F84d","Mccarthy, Herrera and Prince","Puerto Rico","1987","Fundraising","5446"
"caa4cc546B9f299","Ballard, Serrano and Nelson","Panama","1979","Alternative Medicine","8439"
"FBaF0EA4c1EA7bf","Ramos Group","Turkey","1983","Consumer Goods","6877"
"0Ce9a495De05163","Douglas-Walter","Iraq","1971","Entertainment / Movie Production","1281"
"D3a9ffDd6aAdBBA","Liu-Mckenzie","Mauritania","2011","Marketing / Advertising / Sales","5969"
"bf2ed4d9De4b94e","Holt-Khan","Norway","1979","Non - Profit / Volunteering","6523"
"a0a6Db6014Ca964","Wolf-Hardin","Thailand","2004","Textiles","2762"
"23B02bcCCc2FFC8","Chung, Henry and Compton","Sierra Leone","1998","Real Estate / Mortgage","6555"
"fE781d2eeABc8B3","Vasquez Inc","Tajikistan","2021","Printing","4999"
"F4dE5A4c18D9f52","Carlson-Harris","Sierra Leone","2007","Plastics","1169"
"CDF6De19E7DF397","Donaldson Group","Syrian Arab Republic","1999","Law Practice / Law Firms","789"
"fF80B968a52abf5","Cobb-Huffman","Indonesia","2010","Gambling / Casinos","7690"
"324Daa8b3DD9818","Camacho, Sullivan and Meyers","Benin","2018","Law Enforcement","7247"
"30EaceEd0FBDA44","Bartlett and Sons","Congo","2006","Other Industry","8991"
"AfAe7A81b3806Ae","Bowen-Sloan","British Virgin Islands","1972","Events Services","6173"
"EEFc3308ADE231E","Case Group","Singapore","2013","Think Tanks","2376"
"1ed6Ea59BDA6CD6","Mckinney-Walsh","Sudan","1981","Photography","5920"
"89fc841D307EE3F","Daniel-Ashley","United States Virgin Islands","1991","Computer Games","9278"
"bDFE2CBD053AAD1","Compton Group","Uganda","1970","Defense / Space","8065"
"d03ae22D42a7fF5","Arias and Sons","Namibia","2015","Individual / Family Services","5058"
"C3A344d8D8b8A5B","Cardenas, Brewer and Rivera","Ukraine","1971","Public Relations / PR","3689"
"b8bc452F3Ee5DDf","Kent-Knox","Dominica","2017","Higher Education / Acadamia","4955"
"75EaBCACF7de3a4","Juarez, Norton and Pennington","Liechtenstein","1980","Investment Banking / Venture","4949"
"568B1CdAcb4FEdb","Hammond LLC","Aruba","2003","Public Safety","2084"
"0401F8eddedfa7c","Mccarthy-Owen","Togo","2013","Management Consulting","1050"
"D34C5E358ef7b0c","James Inc","Cocos (Keeling) Islands","1978","Luxury Goods / Jewelry","3971"
"fef89b0c97C3519","Montoya LLC","Korea","1983","Writing / Editing","2800"
